行 40: 控件 Adodc1 的类 MSAdodcLib.Adodc 不是一个已加载的控件类。
行 46: 属性名 _ExtentX 在 Adodc1 中是无效的。
行 47: 属性名 _ExtentY 在 Adodc1 中是无效的。
行 48: 属性名 ConnectMode 在 Adodc1 中是无效的。
行 49: 属性名 CursorLocation 在 Adodc1 中是无效的。
行 50: 属性名 IsolationLevel 在 Adodc1 中是无效的。
行 51: 属性名 ConnectionTimeout 在 Adodc1 中是无效的。
行 52: 属性名 CommandTimeout 在 Adodc1 中是无效的。
行 53: 属性名 CursorType 在 Adodc1 中是无效的。
行 54: 属性名 LockType 在 Adodc1 中是无效的。
行 55: 属性名 CommandType 在 Adodc1 中是无效的。
行 56: 属性名 CursorOptions 在 Adodc1 中是无效的。
行 57: 属性名 CacheSize 在 Adodc1 中是无效的。
行 58: 属性名 MaxRecords 在 Adodc1 中是无效的。
行 59: 属性名 BOFAction 在 Adodc1 中是无效的。
行 60: 属性名 EOFAction 在 Adodc1 中是无效的。
行 61: 属性名 ConnectStringType 在 Adodc1 中是无效的。
行 65: 属性名 Orientation 在 Adodc1 中是无效的。
行 67: 属性名 Connect 在 Adodc1 中是无效的。
行 68: 属性名 OLEDBString 在 Adodc1 中是无效的。
行 69: 属性名 OLEDBFile 在 Adodc1 中是无效的。
行 70: 属性名 DataSourceName 在 Adodc1 中是无效的。
行 71: 属性名 OtherAttributes 在 Adodc1 中是无效的。
行 72: 属性名 UserName 在 Adodc1 中是无效的。
行 73: 属性名 Password 在 Adodc1 中是无效的。
行 74: 属性名 RecordSource 在 Adodc1 中是无效的。
行 75: 属性名 Caption 在 Adodc1 中是无效的。
行 85: 属性名 _Version 在 Adodc1 中是无效的。
